"plot","treatment","timepoint","replicate","method","cumulative_ug_co2c_g"
1,"slurry",1,"B","LGR",622.149001867149
1,"slurry",2,"A","IRGA",721.901830647385
1,"slurry",2,"B","IRGA",666.672907492056
1,"slurry",3,"A","IRGA",302.190830875935
1,"slurry",3,"B","IRGA",222.635104502426
2,"control",1,"B","LGR",552.113432668127
2,"control",2,"A","IRGA",528.704133740691
2,"control",2,"B","IRGA",637.452652460856
2,"control",3,"A","IRGA",257.90401374662
2,"control",3,"B","IRGA",208.12981815851
3,"compost",1,"B","LGR",463.826807135779
3,"compost",2,"A","IRGA",555.970757096549
3,"compost",2,"B","IRGA",470.33638873918
3,"compost",3,"A","IRGA",216.146300805849
3,"compost",3,"B","IRGA",345.317669484975
4,"compost",1,"B","LGR",685.518124667192
4,"compost",3,"A","IRGA",188.10086982232
4,"compost",3,"B","IRGA",380.823098904591
5,"control",1,"B","LGR",470.116074386656
5,"control",2,"A","IRGA",663.675391238848
5,"control",2,"B","IRGA",544.970013538355
5,"control",3,"A","IRGA",323.957120984421
5,"control",3,"B","IRGA",378.223541303579
6,"slurry",1,"B","LGR",476.875737834661
6,"slurry",2,"A","IRGA",531.081769334275
6,"slurry",3,"A","IRGA",282.891928050386
6,"slurry",3,"B","IRGA",329.718634780005
7,"control",1,"B","LGR",649.441154395124
7,"control",2,"A","IRGA",523.622839133384
7,"control",2,"B","IRGA",610.987671130297
7,"control",3,"A","IRGA",297.948076860721
7,"control",3,"B","IRGA",389.096644741698
8,"compost",1,"B","LGR",461.773256573793
8,"compost",2,"A","IRGA",637.807438903664
8,"compost",3,"A","IRGA",332.724053849976
8,"compost",3,"B","IRGA",232.726309171191
9,"compost",1,"B","LGR",536.32571638835
9,"compost",2,"A","IRGA",695.204262119489
9,"compost",2,"B","IRGA",634.614160208444
9,"compost",3,"A","IRGA",139.345160020183
9,"compost",3,"B","IRGA",288.863755175171
10,"control",1,"B","LGR",399.382743405645
10,"control",2,"A","IRGA",952.96994130907
10,"control",2,"B","IRGA",1063.58939969009
10,"control",3,"A","IRGA",253.675753622701
10,"control",3,"B","IRGA",303.69169436096
11,"slurry",1,"B","LGR",594.903124629514
11,"slurry",2,"A","IRGA",770.709509887169
11,"slurry",3,"A","IRGA",129.384959682193
11,"slurry",3,"B","IRGA",175.494217008217
12,"slurry",1,"B","LGR",535.056763673524
12,"slurry",2,"B","IRGA",877.780002769717
12,"slurry",3,"A","IRGA",155.457951546966
12,"slurry",3,"B","IRGA",277.228451924025
13,"slurry",1,"B","LGR",719.828714284245
13,"slurry",2,"A","IRGA",1011.91386979486
13,"slurry",3,"A","IRGA",371.066732092949
13,"slurry",3,"B","IRGA",330.782129443309
14,"compost",1,"B","LGR",428.846732417784
14,"compost",2,"A","IRGA",635.144351348551
14,"compost",2,"B","IRGA",480.734414471727
14,"compost",3,"A","IRGA",364.9415206014
14,"compost",3,"B","IRGA",297.441457928631
15,"control",1,"B","LGR",486.72718317329
15,"control",2,"A","IRGA",788.192628336124
15,"control",2,"B","IRGA",720.652459400268
15,"control",3,"A","IRGA",311.266527256709
15,"control",3,"B","IRGA",267.13821765336
