"plot","treatment","timepoint","replicate","date","day","cmin_rate_ug_co2c_hr_g","method","flag"
1,"slurry",1,"B",2025-06-03,0,1.67732828261302,"LGR",NA
1,"slurry",1,"B",2025-06-03,0,1.8446014214347,"LGR",NA
2,"control",1,"B",2025-06-03,0,1.132439917562,"LGR",NA
2,"control",1,"B",2025-06-03,0,1.44616110617655,"LGR",NA
3,"compost",1,"B",2025-06-03,0,1.36478786346715,"LGR",NA
3,"compost",1,"B",2025-06-03,0,1.11491642097571,"LGR",NA
4,"compost",1,"B",2025-06-03,0,2.02396672221662,"LGR",NA
4,"compost",1,"B",2025-06-03,0,1.24098053883305,"LGR",NA
5,"control",1,"B",2025-06-03,0,1.33575396161725,"LGR",NA
5,"control",1,"B",2025-06-03,0,1.25602924441022,"LGR",NA
6,"slurry",1,"B",2025-06-03,0,1.11724335651924,"LGR",NA
6,"slurry",1,"B",2025-06-03,0,1.15981131157973,"LGR",NA
7,"control",1,"B",2025-06-03,0,2.23043570288404,"LGR",NA
7,"control",1,"B",2025-06-03,0,2.08516961363893,"LGR",NA
8,"compost",1,"B",2025-06-03,0,1.11260651361096,"LGR",NA
8,"compost",1,"B",2025-06-03,0,0.823996366231115,"LGR",NA
9,"compost",1,"B",2025-06-03,0,1.18394667811397,"LGR",NA
9,"compost",1,"B",2025-06-03,0,1.19342627393749,"LGR",NA
10,"control",1,"B",2025-06-03,0,0.99195136305433,"LGR",NA
10,"control",1,"B",2025-06-03,0,1.00889502031345,"LGR",NA
11,"slurry",1,"B",2025-06-03,0,1.74091638592233,"LGR",NA
11,"slurry",1,"B",2025-06-03,0,1.55677477486913,"LGR",NA
12,"slurry",1,"B",2025-06-03,0,1.05345893894213,"LGR",NA
12,"slurry",1,"B",2025-06-03,0,0.738022545982374,"LGR",NA
13,"slurry",1,"B",2025-06-03,0,2.0573868648093,"LGR",NA
13,"slurry",1,"B",2025-06-03,0,1.80537165937787,"LGR",NA
14,"compost",1,"B",2025-06-03,0,1.11296273949103,"LGR",NA
14,"compost",1,"B",2025-06-03,0,1.18273578382107,"LGR",NA
15,"control",1,"B",2025-06-03,0,1.11363339290195,"LGR",NA
15,"control",1,"B",2025-06-03,0,0.815839083909353,"LGR",NA
1,"slurry",1,"B",2025-06-10,7,0.964736159064457,"LGR",NA
1,"slurry",1,"B",2025-06-10,7,1.15783569764664,"LGR",NA
2,"control",1,"B",2025-06-10,7,0.83981454769485,"LGR",NA
2,"control",1,"B",2025-06-10,7,0.752128127410745,"LGR",NA
3,"compost",1,"B",2025-06-10,7,0.791882927732584,"LGR",NA
3,"compost",1,"B",2025-06-10,7,0.498748163604126,"LGR",NA
4,"compost",1,"B",2025-06-10,7,1.086890003167,"LGR",NA
4,"compost",1,"B",2025-06-10,7,0.618672463668909,"LGR",NA
5,"control",1,"B",2025-06-10,7,0.706665270898782,"LGR",NA
5,"control",1,"B",2025-06-10,7,0.396979163185796,"LGR",NA
6,"slurry",1,"B",2025-06-10,7,0.868766564677285,"LGR",NA
6,"slurry",1,"B",2025-06-10,7,0.831657644206607,"LGR",NA
7,"control",1,"B",2025-06-10,7,0.958758883484916,"LGR",NA
