"plot","treatment","moisture_pct","dry_matter_pct","crude_protein_pct","avail_protein_pct","adicp_pct","adf_pct","andf_pct","crude_fat_pct","tdn_pct","ca_pct","p_pct","mg_pct","k_pct","s_pct","rfv","ash_pct","lignin_pct","ndicp_pct","starch_pct","nfc_pct","water_sol_carbs_pct","simple_sugars_pct"
1,"slurry",6.4,93.6,9.2,7.6,1.6,50.9,67.2,3.2,49,1.37,0.22,0.14,0.56,0.17,68,3.81,13.7,4,1.3,16.6,7.1,2.7
2,"control",6.5,93.6,9.3,7.5,1.9,45.9,65.2,3.1,50,1.48,0.12,0.21,0.67,0.19,76,7.51,10.4,2.6,0.7,14.9,4.8,3
3,"compost",5.7,94.3,10.1,8.7,1.4,42.8,53.3,3.3,51,1.88,0.2,0.25,0.73,0.31,97,11.61,10.3,2.9,0.9,21.7,8.8,5.1
4,"compost",7.6,92.5,11.2,9.5,1.7,44.4,61.1,4,54,1.07,0.24,0.18,0.56,0.22,83,7.17,9.8,4.9,0.2,16.5,7.4,3.3
5,"control",6,94,9.3,8.6,0.7,48.9,66,3.1,51,1.32,0.23,0.19,0.62,0.21,72,6.71,11,3.8,0.2,14.8,6.4,2.3
6,"slurry",6.7,93.3,12.6,9.7,2.9,43,60.3,4.3,50,1.11,0.25,0.23,0.92,0.28,85,10.54,10.3,4.7,1.1,12.2,5.3,2.3
7,"control",6.6,93.4,11.1,9.1,2,43.7,68.6,2.7,52,0.9,0.23,0.2,0.85,0.14,74,6.16,9.2,5.8,0.2,11.5,6.4,2.7
8,"compost",5.4,94.6,8.6,7,1.6,46.5,72.6,2.6,49,1.08,0.3,0.19,0.7,0.17,67,4.43,11,4.2,0.2,11.8,5.4,1
9,"compost",6.9,93.1,10.5,8.6,1.9,45,69.4,3.9,49,0.99,0.25,0.28,0.58,0.26,72,7.79,10.5,4.7,0.2,8.4,4.4,2.3
10,"control",7,93,8,6.6,1.4,42,67.5,3.7,54,0.99,0.27,0.23,0.94,0.21,77,5.93,8.4,3.3,0.2,15,8.8,4.6
11,"slurry",5.6,94.4,9.1,6.8,2.3,50,63.4,4.1,44,1.73,0.15,0.18,0.35,0.2,73,9.55,15.4,3.8,0.6,13.8,4.9,1.9
12,"slurry",6.7,93.3,7.7,6.2,1.5,50,66.4,4.2,51,1.25,0.15,0.23,0.36,0.25,70,5.3,12,3.3,0.2,16.4,5.8,3.1
13,"slurry",5.6,94.5,8.6,7.3,1.3,46.9,70,2.6,49,1.06,0.2,0.2,1.05,0.22,70,7.13,10.2,4.5,0.4,11.7,7.2,2.7
14,"compost",6.8,93.2,9.3,7.7,1.6,47.9,67.7,3.4,49,1.56,0.18,0.21,0.16,0.27,71,7.64,11.1,3.7,0.2,12,4.8,1.6
15,"control",5.9,94.1,8.2,6.1,2.1,40.6,73,3,56,0.56,0.29,0.21,0.8,0.14,73,6.18,5.6,4.5,0.3,9.6,5.6,3.7
