"plot","treatment","timepoint","replicate","gwc"
1,"slurry",1,"A",0.2296795623
2,"control",1,"A",0.2013641791
3,"compost",1,"A",0.2017555975
4,"compost",1,"A",0.2198236874
5,"control",1,"A",0.2042227255
6,"slurry",1,"A",0.2140561075
7,"control",1,"A",0.2140755272
8,"compost",1,"A",0.2095281031
9,"compost",1,"A",0.1965127636
10,"control",1,"A",0.2017644584
11,"slurry",1,"A",0.2285641211
12,"slurry",1,"A",0.2139747592
13,"slurry",1,"A",0.2213222343
14,"compost",1,"A",0.2095894903
15,"control",1,"A",0.2054619016
1,"slurry",2,"A",0.1183574879
1,"slurry",2,"B",0.12
2,"control",2,"A",0.1087613293
2,"control",2,"B",0.1075794621
3,"compost",2,"A",0.1374407583
3,"compost",2,"B",0.136239782
4,"compost",2,"A",0.1166077739
4,"compost",2,"B",0.1206896552
5,"control",2,"A",0.115755627
5,"control",2,"B",0.1154929577
6,"slurry",2,"A",0.1247216036
6,"slurry",2,"B",0.1211267606
7,"control",2,"A",0.1121212121
7,"control",2,"B",0.115942029
8,"compost",2,"A",0.1171428571
8,"compost",2,"B",0.1183098592
9,"compost",2,"A",0.1048951049
9,"compost",2,"B",0.1083916084
10,"control",2,"A",0.119760479
10,"control",2,"B",0.1261682243
11,"slurry",2,"A",0.1282660333
11,"slurry",2,"B",0.1212871287
12,"slurry",2,"A",0.1353846154
12,"slurry",2,"B",0.1398809524
13,"slurry",2,"A",0.1286173633
13,"slurry",2,"B",0.1284153005
14,"compost",2,"A",0.1150234742
14,"compost",2,"B",0.1164383562
15,"control",2,"A",0.1256281407
15,"control",2,"B",0.125
1,"slurry",3,"A",0.2566371681
1,"slurry",3,"B",0.2483221477
2,"control",3,"A",0.2561728395
2,"control",3,"B",0.2455516014
3,"compost",3,"A",0.2674094708
3,"compost",3,"B",0.2715053763
4,"compost",3,"A",0.2554744526
4,"compost",3,"B",0.2549450549
5,"control",3,"A",0.2544802867
5,"control",3,"B",0.2657534247
6,"slurry",3,"A",0.2397660819
6,"slurry",3,"B",0.2475247525
7,"control",3,"A",0.2579617834
7,"control",3,"B",0.2521246459
8,"compost",3,"A",0.2636103152
8,"compost",3,"B",0.2650273224
9,"compost",3,"A",0.2405797101
9,"compost",3,"B",0.2441860465
10,"control",3,"A",0.2413793103
10,"control",3,"B",0.2457627119
11,"slurry",3,"A",0.2529761905
11,"slurry",3,"B",0.2517006803
12,"slurry",3,"A",0.2627737226
12,"slurry",3,"B",0.2477678571
13,"slurry",3,"A",0.2574257426
13,"slurry",3,"B",0.2478873239
14,"compost",3,"A",0.2480211082
14,"compost",3,"B",0.2517814727
15,"control",3,"A",0.2441860465
15,"control",3,"B",0.1118421053
