"plot","timepoint","treatment","gwc","ph","sir_ug_co2c_hr_g","sir_method","cumulative_ug_co2c_g","cmin_method"
1,1,"slurry",0.2296795623,6.23,NA,NA,622.149001867149,"LGR"
2,1,"control",0.2013641791,6.285,5.11919434321458,"LGR",552.113432668127,"LGR"
3,1,"compost",0.2017555975,6.455,4.25222167732775,"LGR",463.826807135779,"LGR"
4,1,"compost",0.2198236874,6.075,6.23603462569898,"LGR",685.518124667192,"LGR"
5,1,"control",0.2042227255,6.165,4.63992974629211,"LGR",470.116074386656,"LGR"
6,1,"slurry",0.2140561075,6.245,4.78963749757096,"LGR",476.875737834661,"LGR"
7,1,"control",0.2140755272,6.085,6.02025788115281,"LGR",649.441154395124,"LGR"
8,1,"compost",0.2095281031,6.225,4.99526784381032,"LGR",461.773256573793,"LGR"
9,1,"compost",0.1965127636,6.45,4.94863390340617,"LGR",536.32571638835,"LGR"
10,1,"control",0.2017644584,6.455,4.38583814778774,"LGR",399.382743405645,"LGR"
11,1,"slurry",0.2285641211,6.535,6.37404797896707,"LGR",594.903124629514,"LGR"
12,1,"slurry",0.2139747592,6.47,7.06290184255692,"LGR",535.056763673524,"LGR"
13,1,"slurry",0.2213222343,6.205,6.27356482852088,"LGR",719.828714284245,"LGR"
14,1,"compost",0.2095894903,6.46,6.2161604941308,"LGR",428.846732417784,"LGR"
15,1,"control",0.2054619016,6.63,5.05171060861135,"LGR",486.72718317329,"LGR"
1,2,"slurry",0.11917874395,6.2,4.88466485182808,"IRGA",694.28736906972,"IRGA"
2,2,"control",0.1081703957,6.29,5.76088154901745,"IRGA",583.078393100773,"IRGA"
3,2,"compost",0.13684027015,6.27,4.66269772404151,"IRGA",513.153572917864,"IRGA"
4,2,"compost",0.11864871455,5.92,5.02274881091203,"IRGA",NA,NA
5,2,"control",0.11562429235,6.1,4.68591181308407,"IRGA",604.322702388602,"IRGA"
6,2,"slurry",0.1229241821,6.34,5.27050247357867,"IRGA",531.081769334275,"IRGA"
7,2,"control",0.11403162055,6.03,5.55073763447923,"IRGA",567.305255131841,"IRGA"
8,2,"compost",0.11772635815,6.22,5.01933703206843,"IRGA",637.807438903664,"IRGA"
9,2,"compost",0.10664335665,6.305,5.35709910976139,"IRGA",664.909211163967,"IRGA"
10,2,"control",0.12296435165,6.37,5.72560504663507,"IRGA",1008.27967049958,"IRGA"
11,2,"slurry",0.124776581,6.42,6.71692359755323,"IRGA",770.709509887169,"IRGA"
12,2,"slurry",0.1376327839,6.4,6.24337547239162,"IRGA",877.780002769717,"IRGA"
13,2,"slurry",0.1285163319,6.25,6.4818183028848,"IRGA",1011.91386979486,"IRGA"
14,2,"compost",0.1157309152,6.44,5.92492116478281,"IRGA",557.939382910139,"IRGA"
15,2,"control",0.12531407035,6.515,5.83664495934835,"IRGA",754.422543868196,"IRGA"
1,3,"slurry",0.2524796579,6.435,4.18925168605837,"IRGA",262.41296768918,"IRGA"
2,3,"control",0.25086222045,6.2,3.69276564745872,"IRGA",233.016915952565,"IRGA"
3,3,"compost",0.26945742355,6.285,4.1089905500795,"IRGA",280.731985145412,"IRGA"
4,3,"compost",0.25520975375,6.145,3.80566825649892,"IRGA",284.461984363455,"IRGA"
5,3,"control",0.2601168557,6.155,4.70594472296676,"IRGA",351.090331144,"IRGA"
6,3,"slurry",0.2436454172,6.465,3.66619984640122,"IRGA",306.305281415196,"IRGA"
7,3,"control",0.25504321465,5.855,3.01629509930862,"IRGA",343.52236080121,"IRGA"
8,3,"compost",0.2643188188,6.19,3.78813046701933,"IRGA",282.725181510583,"IRGA"
9,3,"compost",0.2423828783,6.235,3.84312482118473,"IRGA",214.104457597677,"IRGA"
10,3,"control",0.2435710111,6.26,4.39963496156108,"IRGA",278.68372399183,"IRGA"
11,3,"slurry",0.2523384354,6.56,4.6635707217434,"IRGA",152.439588345205,"IRGA"
12,3,"slurry",0.25527078985,6.7,4.37574993999591,"IRGA",216.343201735496,"IRGA"
13,3,"slurry",0.25265653325,6.485,3.95530917188833,"IRGA",350.924430768129,"IRGA"
14,3,"compost",0.24990129045,6.555,4.55812897256965,"IRGA",331.191489265015,"IRGA"
15,3,"control",0.1780140759,6.57,3.54253518708339,"IRGA",289.202372455034,"IRGA"
