Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
1A,,604829.967,4669939.348,50.050,,-73.73074217,42.17457789,50.050,Global,0.010,0.010,0.011,0.014,1.934,m,FIX,RTK,2025-05-07 10:07:14.0 UTC-04:00,2025-05-07 10:07:14.0 UTC-04:00,1,1.4,1.7,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,621.351,,WGS 84 / UTM zone 18N,11,7,7,0,0
1B,,604829.541,4669938.498,50.016,,-73.73074748,42.17457030,50.016,Global,0.010,0.010,0.011,0.014,1.934,m,FIX,RTK,2025-05-07 10:07:23.0 UTC-04:00,2025-05-07 10:07:23.0 UTC-04:00,1,1.3,1.6,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,622.301,,WGS 84 / UTM zone 18N,11,7,8,4,0
1C,,604830.323,4669937.889,50.007,,-73.73073813,42.17456471,50.007,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 10:07:28.0 UTC-04:00,2025-05-07 10:07:28.0 UTC-04:00,1,1.4,1.7,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,622.527,,WGS 84 / UTM zone 18N,11,7,7,4,0
2A,,604835.621,4669937.414,49.970,,-73.73067408,42.17455972,49.970,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 10:07:37.0 UTC-04:00,2025-05-07 10:07:37.0 UTC-04:00,1,1.3,1.6,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,620.760,,WGS 84 / UTM zone 18N,11,7,8,4,0
2B,,604835.795,4669936.558,49.923,,-73.73067213,42.17455199,49.923,Global,0.010,0.010,0.017,0.014,1.934,m,FIX,RTK,2025-05-07 10:07:47.0 UTC-04:00,2025-05-07 10:07:47.0 UTC-04:00,1,1.6,1.9,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,621.469,,WGS 84 / UTM zone 18N,11,7,8,4,0
2C,,604836.614,4669937.209,49.951,,-73.73066209,42.17455774,49.951,Global,0.010,0.010,0.014,0.014,1.934,m,FIX,RTK,2025-05-07 10:07:52.0 UTC-04:00,2025-05-07 10:07:52.0 UTC-04:00,1,1.6,1.9,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,620.539,,WGS 84 / UTM zone 18N,11,7,7,4,0
3A,,604841.265,4669935.673,49.645,,-73.73060607,42.17454329,49.645,Global,0.010,0.010,0.011,0.014,1.934,m,FIX,RTK,2025-05-07 10:08:01.0 UTC-04:00,2025-05-07 10:08:01.0 UTC-04:00,1,1.4,1.7,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,620.056,,WGS 84 / UTM zone 18N,11,7,7,4,0
3B,,604842.099,4669934.989,49.708,,-73.73059610,42.17453702,49.708,Global,0.010,0.010,0.011,0.014,1.934,m,FIX,RTK,2025-05-07 10:08:07.0 UTC-04:00,2025-05-07 10:08:07.0 UTC-04:00,1,1.3,1.6,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,620.346,,WGS 84 / UTM zone 18N,11,7,8,4,0
3C,,604841.031,4669934.487,49.704,,-73.73060911,42.17453264,49.704,Global,0.010,0.010,0.013,0.014,1.934,m,FIX,RTK,2025-05-07 10:08:14.0 UTC-04:00,2025-05-07 10:08:14.0 UTC-04:00,1,1.6,1.9,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,621.235,,WGS 84 / UTM zone 18N,11,7,8,4,0
4A,,604827.731,4669933.051,50.182,,-73.73077037,42.17452149,50.182,Global,0.010,0.010,0.015,0.014,1.934,m,FIX,RTK,2025-05-07 10:08:28.0 UTC-04:00,2025-05-07 10:08:28.0 UTC-04:00,1,1.4,1.6,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,628.005,,WGS 84 / UTM zone 18N,10,7,8,4,0
4B,,604827.948,4669932.404,50.029,,-73.73076786,42.17451564,50.029,Global,0.010,0.010,0.014,0.014,1.934,m,FIX,RTK,2025-05-07 10:08:36.0 UTC-04:00,2025-05-07 10:08:36.0 UTC-04:00,1,1.4,1.7,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,628.504,,WGS 84 / UTM zone 18N,11,7,8,4,0
4C,,604827.058,4669932.898,50.021,,-73.73077855,42.17452021,50.021,Global,0.010,0.010,0.013,0.014,1.934,m,FIX,RTK,2025-05-07 10:08:41.0 UTC-04:00,2025-05-07 10:08:41.0 UTC-04:00,1,1.6,1.9,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,628.428,,WGS 84 / UTM zone 18N,11,7,8,4,0
5A,,604833.541,4669932.104,49.875,,-73.73070021,42.17451219,49.875,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 10:08:52.0 UTC-04:00,2025-05-07 10:08:52.0 UTC-04:00,1,1.3,1.6,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,626.458,,WGS 84 / UTM zone 18N,11,7,7,4,0
5B,,604833.080,4669931.528,49.900,,-73.73070589,42.17450706,49.900,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 10:08:57.0 UTC-04:00,2025-05-07 10:08:57.0 UTC-04:00,1,1.4,1.6,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,627.172,,WGS 84 / UTM zone 18N,11,7,8,4,0
5C,,604833.661,4669931.215,50.028,,-73.73069893,42.17450417,50.028,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 10:09:01.0 UTC-04:00,2025-05-07 10:09:01.0 UTC-04:00,1,1.3,1.5,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,627.217,,WGS 84 / UTM zone 18N,11,7,8,4,0
6A,,604839.137,4669930.018,49.705,,-73.73063285,42.17449266,49.705,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 10:09:11.0 UTC-04:00,2025-05-07 10:09:11.0 UTC-04:00,1,1.3,1.6,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,626.089,,WGS 84 / UTM zone 18N,10,7,8,4,0
6B,,604839.822,4669929.209,49.830,,-73.73062470,42.17448528,49.830,Global,0.010,0.010,0.011,0.014,1.934,m,FIX,RTK,2025-05-07 10:09:16.0 UTC-04:00,2025-05-07 10:09:16.0 UTC-04:00,1,1.3,1.5,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,626.554,,WGS 84 / UTM zone 18N,11,7,8,0,0
6C,,604838.781,4669928.978,49.740,,-73.73063734,42.17448334,49.740,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 10:09:22.0 UTC-04:00,2025-05-07 10:09:22.0 UTC-04:00,1,1.3,1.6,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,627.184,,WGS 84 / UTM zone 18N,11,7,8,0,0
7A,,604825.406,4669928.264,49.886,,-73.73079938,42.17447870,49.886,Global,0.010,0.010,0.012,0.014,1.934,m,FIX,RTK,2025-05-07 10:09:38.0 UTC-04:00,2025-05-07 10:09:38.0 UTC-04:00,1,1.3,1.6,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,633.329,,WGS 84 / UTM zone 18N,11,7,0,0,0
7B,,604826.154,4669927.894,49.920,,-73.73079039,42.17447527,49.920,Global,0.010,0.010,0.016,0.014,1.934,m,FIX,RTK,2025-05-07 10:09:43.0 UTC-04:00,2025-05-07 10:09:43.0 UTC-04:00,1,1.4,1.7,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,633.353,,WGS 84 / UTM zone 18N,11,7,8,0,0
7C,,604825.757,4669927.213,49.905,,-73.73079532,42.17446919,49.905,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 10:09:49.0 UTC-04:00,2025-05-07 10:09:49.0 UTC-04:00,1,1.4,1.6,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,634.137,,WGS 84 / UTM zone 18N,10,7,7,4,0
