Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
1,,604829.218,4669940.634,50.446,,-73.73075101,42.17458958,50.446,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 09:55:22.0 UTC-04:00,2025-05-07 09:55:22.0 UTC-04:00,1,1.2,1.4,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,620.496,,WGS 84 / UTM zone 18N,10,6,8,4,0
1,,604832.066,4669939.841,50.266,,-73.73071667,42.17458205,50.266,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 09:55:39.0 UTC-04:00,2025-05-07 09:55:39.0 UTC-04:00,1,1.2,1.4,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,620.022,,WGS 84 / UTM zone 18N,10,7,8,4,0
1,,604828.084,4669937.948,50.189,,-73.73076521,42.17456554,50.189,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 09:56:10.0 UTC-04:00,2025-05-07 09:56:10.0 UTC-04:00,1,1.2,1.4,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,623.413,,WGS 84 / UTM zone 18N,11,7,8,4,0
1,,604830.794,4669936.818,50.081,,-73.73073261,42.17455500,50.081,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 09:56:23.0 UTC-04:00,2025-05-07 09:56:23.0 UTC-04:00,1,1.2,1.5,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,623.302,,WGS 84 / UTM zone 18N,10,7,8,4,0
2,,604835.033,4669938.835,50.145,,-73.73068094,42.17457260,50.145,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 09:56:37.0 UTC-04:00,2025-05-07 09:56:37.0 UTC-04:00,1,1.1,1.4,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,619.706,,WGS 84 / UTM zone 18N,10,7,8,4,0
2,,604837.974,4669937.894,49.974,,-73.73064551,42.17456373,49.974,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 09:56:46.0 UTC-04:00,2025-05-07 09:56:46.0 UTC-04:00,1,1.2,1.5,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,619.357,,WGS 84 / UTM zone 18N,10,7,8,4,0
2,,604833.892,4669935.951,50.000,,-73.73069527,42.17454678,50.000,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 09:56:57.0 UTC-04:00,2025-05-07 09:56:57.0 UTC-04:00,1,1.2,1.4,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,622.805,,WGS 84 / UTM zone 18N,10,7,8,4,0
2,,604836.765,4669935.306,49.968,,-73.73066061,42.17454059,49.968,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 09:57:11.0 UTC-04:00,2025-05-07 09:57:11.0 UTC-04:00,1,1.2,1.4,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,622.213,,WGS 84 / UTM zone 18N,10,6,8,4,0
3,,604840.612,4669936.965,49.882,,-73.73061374,42.17455501,49.882,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 09:57:22.0 UTC-04:00,2025-05-07 09:57:22.0 UTC-04:00,1,1.2,1.4,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,619.135,,WGS 84 / UTM zone 18N,10,7,8,4,0
3,,604843.422,4669936.031,49.792,,-73.73057990,42.17454623,49.792,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 09:57:34.0 UTC-04:00,2025-05-07 09:57:34.0 UTC-04:00,1,1.2,1.5,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,618.860,,WGS 84 / UTM zone 18N,9,7,0,0,0
3,,604839.593,4669934.250,49.808,,-73.73062656,42.17453070,49.808,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 09:57:48.0 UTC-04:00,2025-05-07 09:57:48.0 UTC-04:00,1,1.3,1.5,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,622.031,,WGS 84 / UTM zone 18N,10,7,8,4,0
3,,604842.361,4669933.262,49.800,,-73.73059324,42.17452143,49.800,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 09:57:58.0 UTC-04:00,2025-05-07 09:57:58.0 UTC-04:00,1,1.2,1.4,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,621.823,,WGS 84 / UTM zone 18N,10,7,8,4,0
4,,604826.918,4669935.215,50.185,,-73.73077982,42.17454109,50.185,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 09:58:15.0 UTC-04:00,2025-05-07 09:58:15.0 UTC-04:00,1,1.2,1.4,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,626.383,,WGS 84 / UTM zone 18N,10,7,8,4,0
4,,604829.788,4669934.019,50.082,,-73.73074530,42.17452993,50.082,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2025-05-07 09:58:23.0 UTC-04:00,2025-05-07 09:58:23.0 UTC-04:00,1,1.2,1.5,605090.900,4670503.042,57.417,-73.72748184,42.17961849,57.417,626.266,,WGS 84 / UTM zone 18N,10,7,8,4,0
