Sampling_Date,Plot,Collar,Mean VWC,Mean_VWC_Plot
5/6/25,1,A,28.9,28.93333333
5/6/25,2,A,27.9,28.64444444
5/6/25,3,A,33.26666667,33.01111111
5/6/25,4,A,26.73333333,28.33333333
5/6/25,5,A,32.06666667,31.74444444
5/6/25,6,A,33.13333333,32.94444444
5/6/25,7,A,30.53333333,29.11111111
5/6/25,8,A,30.06666667,29.73333333
5/6/25,9,A,30.1,31.77777778
5/6/25,10,A,33.5,31.51111111
5/6/25,11,A,27.2,29.74444444
5/6/25,12,A,32.36666667,31.92222222
5/6/25,13,A,28.8,29.84444444
5/6/25,14,A,30.5,31.45555556
5/6/25,15,A,32.66666667,31.12222222
