Model:	LI-7820
SN:	TG20-01037
Software Version:	2.4.27-rc1
Timestamp:	2025-05-06 09:03:44
Timezone:	US/Eastern
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	N2O	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1746536624	751749038	0	256	""	2025-05-06	09:03:44	nan	nan	101.53	21.3826	101.489	31.8513	0	0	21.3698	-16000	0	24.2485	177
DATA	1746536624	751749038	0	256	""	2025-05-06	09:03:44	nan	nan	101.529	21.3826	101.489	39.6471	0	0	21.3698	-16000	0	24.2502	232
DATA	1746536624	751749038	0	256	""	2025-05-06	09:03:44	nan	nan	101.53	21.3826	101.489	45.5397	0	0	21.3698	-16000	0	24.252	131
DATA	1746536626	751673936	0	256	""	2025-05-06	09:03:46	nan	nan	101.24	21.3826	101.199	24.4203	0	0	21.3698	-8000	0	24.2689	133
DATA	1746536627	751631021	0	256	""	2025-05-06	09:03:47	nan	nan	101.529	21.3826	101.489	47.5097	0	0	21.3698	-16000	0	24.256	178
DATA	1746536627	751631021	0	256	""	2025-05-06	09:03:47	nan	nan	101.53	21.3831	101.489	47.7117	0	0	21.3699	-16000	0	24.2574	167
DATA	1746536627	751631021	0	256	""	2025-05-06	09:03:47	nan	nan	101.53	21.3833	101.489	47.7831	0	0	21.3706	-16000	0	24.2579	166
DATA	1746536630	751517057	0	256	""	2025-05-06	09:03:50	nan	nan	101.529	21.3833	101.489	47.8127	0	0	21.3706	-16000	0	24.2587	220
DATA	1746536630	751517057	0	256	""	2025-05-06	09:03:50	nan	nan	101.53	21.3833	101.489	47.8261	0	0	21.3706	-16000	0	24.259	109
DATA	1746536630	751517057	0	256	""	2025-05-06	09:03:50	nan	nan	101.531	21.3833	101.489	47.8329	0	0	21.3706	-16000	0	24.259	163
DATA	1746536633	751403093	0	256	""	2025-05-06	09:03:53	nan	nan	101.531	21.3833	101.489	47.837	0	0	21.3706	-16000	0	24.259	111
DATA	1746536633	751403093	0	256	""	2025-05-06	09:03:53	nan	nan	101.531	21.3833	101.49	47.8395	0	0	21.3713	-16000	0	24.259	108
DATA	1746536633	751403093	0	256	""	2025-05-06	09:03:53	nan	nan	101.531	21.3833	101.489	47.8407	0	0	21.3713	-16000	0	24.259	158
DATA	1746536636	751281976	0	256	""	2025-05-06	09:03:56	nan	nan	101.531	21.3833	101.489	47.842	0	0	21.3713	-16000	0	24.259	125
